County,State,CountyFIPS,Number,Percentage
Autauga County,Alabama,1001,4017,8
Baldwin County,Alabama,1003,22892,9.9
Barbour County,Alabama,1005,2082,9.2
Bibb County,Alabama,1007,1798,9.1
Blount County,Alabama,1009,4540,8.5
Bullock County,Alabama,1011,806,9
Butler County,Alabama,1013,1708,9.8
Calhoun County,Alabama,1015,12259,12
Chambers County,Alabama,1017,3500,10.7
Cherokee County,Alabama,1019,2231,8.5
Chilton County,Alabama,1021,3893,9.9
Choctaw County,Alabama,1023,1431,11.2
Clarke County,Alabama,1025,2093,9.9
Clay County,Alabama,1027,1134,8.2
Cleburne County,Alabama,1029,1163,8.3
Coffee County,Alabama,1031,4475,9.7
Colbert County,Alabama,1033,4412,8.2
Conecuh County,Alabama,1035,1275,11.2
Coosa County,Alabama,1037,956,8.4
Covington County,Alabama,1039,3749,10.5
Crenshaw County,Alabama,1041,1126,9.4
Cullman County,Alabama,1043,7897,9.8
Dale County,Alabama,1045,4873,11.6
Dallas County,Alabama,1047,4135,12.3
Dekalb County,Alabama,1049,5768,9.2
Elmore County,Alabama,1051,8011,10.5
Escambia County,Alabama,1053,3370,10.5
Etowah County,Alabama,1055,10904,11.6
Fayette County,Alabama,1057,1170,7.5
Franklin County,Alabama,1059,2044,7.5
Geneva County,Alabama,1061,2825,11.1
Greene County,Alabama,1063,806,10.7
Hale County,Alabama,1065,1295,9.8
Henry County,Alabama,1067,1350,7.8
Houston County,Alabama,1069,9644,10.2
Jackson County,Alabama,1071,4519,8.9
Jefferson County,Alabama,1073,66642,12
Lamar County,Alabama,1075,1149,8.5
Lauderdale County,Alabama,1077,9356,10.8
Lawrence County,Alabama,1079,2552,8.3
Lee County,Alabama,1081,11671,8.8
Limestone County,Alabama,1083,8920,9.7
Lowndes County,Alabama,1085,887,9.5
Macon County,Alabama,1087,1930,11.1
Madison County,Alabama,1089,35790,10.8
Marengo County,Alabama,1091,1841,10.5
Marion County,Alabama,1093,2268,8
Marshall County,Alabama,1095,7983,9.6
Mobile County,Alabama,1097,46162,13.3
Monroe County,Alabama,1099,1780,9.4
Montgomery County,Alabama,1101,27548,15
Morgan County,Alabama,1103,11877,10.9
Perry County,Alabama,1105,816,11
Pickens County,Alabama,1107,1744,10
Pike County,Alabama,1109,2567,9.9
Randolph County,Alabama,1111,2321,10.9
Russell County,Alabama,1113,4994,10.5
St. Clair County,Alabama,1115,8628,10.6
Shelby County,Alabama,1117,18389,9.5
Sumter County,Alabama,1119,1206,11.3
Talladega County,Alabama,1121,7854,10.6
Tallapoosa County,Alabama,1123,4395,10.8
Tuscaloosa County,Alabama,1125,21661,12.5
Walker County,Alabama,1127,5645,9.4
Washington County,Alabama,1129,1481,10.4
Wilcox County,Alabama,1131,1073,11.2
Winston County,Alabama,1133,1741,7.3
Aleutians East Borough,Alaska,2013,321,9.9
Aleutians West Census Area,Alaska,2016,511,11.9
Anchorage Municipality,Alaska,2020,15331,7.2
Bethel Census Area,Alaska,2050,1010,9.4
Bristol Bay Borough,Alaska,2060,73,9.6
Chugach Census Area,Alaska,2063,449,7.5
Copper River Census Area,Alaska,2066,178,7.7
Denali Borough,Alaska,2068,89,6.5
Dillingham Census Area,Alaska,2070,267,8.5
Fairbanks North Star Borough,Alaska,2090,5139,7.7
Haines Borough,Alaska,2100,156,7.1
Hoonah-Angoon Census Area,Alaska,2105,184,7.2
Juneau City and Borough,Alaska,2110,1854,6.9
Kenai Peninsula Borough,Alaska,2122,4268,7.8
Ketchikan Gateway Borough,Alaska,2130,1093,8.9
Kodiak Island Borough,Alaska,2150,777,8.1
Kusilvak Census Area,Alaska,2158,386,9.2
Lake and Peninsula Borough,Alaska,2164,90,8.4
Matanuska-Susitna Borough,Alaska,2170,6325,7.5
Nome Census Area,Alaska,2180,485,8.2
North Slope Borough,Alaska,2185,713,9.5
Northwest Arctic Borough,Alaska,2188,422,9.6
Petersburg Census Area,Alaska,2195,215,6.8
Prince of Wales-Hyder Census Area,Alaska,2198,471,8.6
Prince of Wales - Outer Ketchikan,Alaska,2201,2026,8.3
Sitka City and Borough,Alaska,2220,647,8.7
Skagway Municipality,Alaska,2230,79,7.8
Skagway-Hoonah-Angoon,Alaska,2232,2026,8.3
Southeast Fairbanks Census Area,Alaska,2240,426,7.7
Valdez-Cordova Census Area,Alaska,2261,2026,8.3
Wade Hampton Census Area,Alaska,2270,2026,8.3
Wrangell City and Borough,Alaska,2275,196,9.2
Wrangell-Petersburg Census Area,Alaska,2280,2026,8.3
Yakutat City and Borough,Alaska,2282,57,8.4
Yukon-Koyukuk Census Area,Alaska,2290,378,8.9
Apache County,Arizona,4001,6652,12.6
Cochise County,Arizona,4003,9647,8
Coconino County,Arizona,4005,7906,7.3
Gila County,Arizona,4007,4713,8
Graham County,Arizona,4009,2523,8.8
Greenlee County,Arizona,4011,484,6.9
La Paz County,Arizona,4012,1666,8.1
Maricopa County,Arizona,4013,313307,8.6
Mohave County,Arizona,4015,25201,10
Navajo County,Arizona,4017,9878,10.6
Pima County,Arizona,4019,72446,7.7
Pinal County,Arizona,4021,41708,10.3
Santa Cruz County,Arizona,4023,3152,7.7
Yavapai County,Arizona,4025,18303,6.2
Yuma County,Arizona,4027,19722,11.6
Arkansas County,Arkansas,5001,1445,9.4
Ashley County,Arkansas,5003,1980,11.2
Baxter County,Arkansas,5005,3717,7.7
Benton County,Arkansas,5007,19995,9.1
Boone County,Arkansas,5009,3455,9.8
Bradley County,Arkansas,5011,832,9
Calhoun County,Arkansas,5013,403,8.5
Carroll County,Arkansas,5015,2452,8.7
Chicot County,Arkansas,5017,877,9.1
Clark County,Arkansas,5019,1527,9
Clay County,Arkansas,5021,1449,10.6
Cleburne County,Arkansas,5023,2502,9.2
Cleveland County,Arkansas,5025,681,9.4
Columbia County,Arkansas,5027,2014,10.9
Conway County,Arkansas,5029,2041,10.5
Craighead County,Arkansas,5031,8342,10
Crawford County,Arkansas,5033,5647,10.8
Crittenden County,Arkansas,5035,4052,10.9
Cross County,Arkansas,5037,1345,9
Dallas County,Arkansas,5039,585,9.1
Desha County,Arkansas,5041,921,9.3
Drew County,Arkansas,5043,1237,8.5
Faulkner County,Arkansas,5045,9519,10.2
Franklin County,Arkansas,5047,1317,8.3
Fulton County,Arkansas,5049,994,7.8
Garland County,Arkansas,5051,8265,8.1
Grant County,Arkansas,5053,1363,8.4
Greene County,Arkansas,5055,4933,12.9
Hempstead County,Arkansas,5057,1851,10.7
Hot Spring County,Arkansas,5059,2915,9.4
Howard County,Arkansas,5061,971,9
Independence County,Arkansas,5063,3032,9.2
Izard County,Arkansas,5065,1123,7.7
Jackson County,Arkansas,5067,1371,9.2
Jefferson County,Arkansas,5069,7246,12.6
Johnson County,Arkansas,5071,2162,10
Lafayette County,Arkansas,5073,538,8.2
Lawrence County,Arkansas,5075,1283,8.8
Lee County,Arkansas,5077,736,9.2
Lincoln County,Arkansas,5079,940,8.4
Little River County,Arkansas,5081,896,7.9
Logan County,Arkansas,5083,1893,9.3
Lonoke County,Arkansas,5085,5259,8.9
Madison County,Arkansas,5087,1266,8.2
Marion County,Arkansas,5089,1293,6.7
Miller County,Arkansas,5091,3486,9.6
Mississippi County,Arkansas,5093,3613,11.4
Monroe County,Arkansas,5095,658,9.8
Montgomery County,Arkansas,5097,768,8.1
Nevada County,Arkansas,5099,616,7.8
Newton County,Arkansas,5101,616,7.9
Ouachita County,Arkansas,5103,1907,9
Perry County,Arkansas,5105,752,7.8
Phillips County,Arkansas,5107,1670,11.9
Pike County,Arkansas,5109,738,7.7
Poinsett County,Arkansas,5111,2085,10.5
